Station,Code,Context,Count,Time Start,Time End,Duration,FireName
aa-22-16-41,Fire Warning,WARNING Discrepancy and PM,339,2024-04-10 16:14,2024-04-10 20:31,04:16:49,WR-08
aa-22-16-41,Fire Alert,ALERT Discrepancy and PM,42,2024-04-10 16:46,2024-04-10 17:00,00:13:42,WR-08
aa-22-16-41,Fire Alert,ALERT Discrepancy and PM,25,2024-04-10 20:14,2024-04-10 20:22,00:08:00,WR-08
aa-22-16-41,Fire Warning,WARNING Discrepancy and PM,111,2024-04-11 01:37,2024-04-11 02:14,00:37:06,WR-08
aa-22-16-41,Fire Alert,ALERT Discrepancy and PM,39,2024-04-11 01:48,2024-04-11 02:01,00:12:48,WR-08
aa-87-26-17,Fire Warning,WARNING Discrepancy and PM,129,2024-04-11 02:14,2024-04-11 02:54,00:40:19,WR-08
aa-22-17-44,Fire Warning,WARNING Discrepancy and PM,78,2024-04-11 02:29,2024-04-11 02:54,00:25:54,WR-08
aa-22-17-38,Fire Warning,WARNING Discrepancy and PM,346,2024-04-11 13:55,2024-04-11 17:53,03:58:10,WR-09
aa-22-16-41,Fire Warning,WARNING Discrepancy and PM,284,2024-04-11 13:58,2024-04-11 15:49,01:50:47,WR-09
aa-22-16-41,Fire Alert,ALERT Discrepancy and PM,87,2024-04-11 14:02,2024-04-11 14:55,00:53:25,WR-09
aa-87-26-17,Fire Warning,WARNING Discrepancy and PM,137,2024-04-11 14:10,2024-04-11 15:45,01:34:38,WR-09
aa-22-17-38,Air Quality,Particulates,21,2024-04-11 14:12,2024-04-11 14:19,00:06:25,WR-09
aa-22-17-38,Fire Alert,ALERT Discrepancy and PM,87,2024-04-11 14:14,2024-04-11 17:35,03:21:29,WR-09
aa-22-16-41,Air Quality,Particulates,134,2024-04-11 14:42,2024-04-11 15:37,00:54:02,WR-09
aa-22-17-38,Air Quality,Particulates,33,2024-04-11 17:32,2024-04-11 17:43,00:10:20,WR-09
aa-22-17-44,Fire Warning,WARNING Discrepancy and PM,475,2024-04-23 13:17,2024-04-23 18:08,04:50:27,WR-12
aa-22-16-41,Fire Warning,WARNING Discrepancy and PM,4,2024-04-23 13:23,2024-04-23 13:25,00:01:59,WR-12
aa-22-17-44,Fire Alert,ALERT Discrepancy and PM,98,2024-04-23 15:54,2024-04-23 17:56,02:01:39,WR-12
aa-87-26-17,Fire Warning,WARNING Discrepancy and PM,191,2024-04-23 16:19,2024-04-23 18:11,01:52:32,WR-12
aa-22-21-74,Fire Warning,WARNING Discrepancy and PM,176,2024-04-23 16:37,2024-04-23 17:49,01:12:11,WR-12
aa-22-17-44,Air Quality,Particulates,173,2024-04-23 16:50,2024-04-23 17:51,01:01:24,WR-12
aa-87-26-17,Fire Alert,ALERT Discrepancy and PM,21,2024-04-23 17:57,2024-04-23 18:03,00:06:04,WR-12
aa-22-16-41,Fire Warning,WARNING Discrepancy and PM,6,2024-04-23 17:58,2024-04-23 18:00,00:01:39,WR-12
aa-22-16-97,Fire Warning,WARNING Discrepancy and PM,8,2024-04-23 22:36,2024-04-23 22:39,00:02:27,WR-12
aa-87-26-17,Fire Warning,WARNING Discrepancy and PM,467,2024-04-23 23:12,2024-04-24 03:55,04:42:25,WR-12
aa-22-22-33,Fire Warning,WARNING Discrepancy and PM,270,2024-04-23 23:59,2024-04-24 01:55,01:56:08,WR-12
aa-22-17-44,Fire Warning,WARNING Discrepancy and PM,125,2024-04-24 00:37,2024-04-24 01:19,00:41:11,WR-12
aa-87-26-17,Fire Alert,ALERT Discrepancy and PM,61,2024-04-24 00:40,2024-04-24 01:22,00:42:37,WR-12
aa-87-26-17,Air Quality,Particulates,117,2024-04-24 00:41,2024-04-24 01:17,00:36:05,WR-12
aa-22-17-44,Fire Alert,ALERT Discrepancy and PM,71,2024-04-24 00:46,2024-04-24 01:10,00:23:15,WR-12
aa-22-17-44,Air Quality,Particulates,39,2024-04-24 00:51,2024-04-24 01:04,00:12:37,WR-12
aa-22-16-97,Fire Warning,WARNING Discrepancy and PM,309,2024-04-24 01:50,2024-04-24 06:09,04:18:18,WR-12
aa-22-16-97,Fire Warning,WARNING Discrepancy and PM,388,2024-04-24 12:15,2024-04-24 15:10,02:54:21,WR-14
aa-22-16-97,Fire Alert,ALERT Discrepancy and PM,117,2024-04-24 12:19,2024-04-24 15:09,02:49:30,WR-14
aa-22-16-97,Air Quality,Particulates,208,2024-04-24 12:20,2024-04-24 15:06,02:46:23,WR-14
aa-22-17-44,Fire Warning,WARNING Discrepancy and PM,284,2024-04-24 21:18,2024-04-24 23:52,02:34:31,WR-14
aa-87-26-17,Fire Warning,WARNING Discrepancy and PM,326,2024-04-24 21:42,2024-04-24 23:50,02:08:02,WR-14
aa-22-16-97,Fire Warning,WARNING Discrepancy and PM,136,2024-04-24 22:47,2024-04-24 23:34,00:47:14,WR-14
aa-22-16-97,Fire Alert,ALERT Discrepancy and PM,43,2024-04-24 22:51,2024-04-24 23:32,00:40:14,WR-14
aa-22-16-97,Air Quality,Particulates,64,2024-04-24 22:52,2024-04-24 23:15,00:22:44,WR-14
aa-22-16-41,Fire Warning,WARNING Discrepancy and PM,17,2024-04-24 23:42,2024-04-24 23:47,00:05:20,WR-14
aa-22-17-38,Fire Warning,WARNING Discrepancy and PM,201,2024-04-25 00:04,2024-04-25 01:25,01:20:04,WR-14
aa-22-21-74,Fire Warning,WARNING Discrepancy and PM,74,2024-04-25 02:21,2024-04-25 02:46,00:25:20,WR-14
aa-22-16-74,Fire Warning,WARNING Discrepancy and PM,26,2024-04-25 03:06,2024-04-25 03:16,00:09:48,WR-14
aa-22-16-97,Fire Warning,WARNING Discrepancy and PM,24,2024-04-25 18:16,2024-04-25 18:24,00:07:59,WR-16
aa-22-17-44,Fire Warning,WARNING Discrepancy and PM,46,2024-04-25 18:25,2024-04-25 18:40,00:14:38,WR-16
aa-22-16-41,Fire Warning,WARNING Discrepancy and PM,33,2024-04-25 18:32,2024-04-25 18:43,00:10:37,WR-16
aa-22-21-74,Fire Warning,WARNING Discrepancy and PM,603,2024-04-25 20:38,2024-04-26 02:53,06:14:34,WR-16
aa-22-16-74,Fire Warning,WARNING Discrepancy and PM,415,2024-04-25 21:54,2024-04-26 04:28,06:34:00,WR-16
aa-22-16-84,Fire Warning,WARNING Discrepancy and PM,312,2024-04-25 22:12,2024-04-26 01:04,02:51:51,WR-16
aa-22-16-74,Air Quality,Particulates,20,2024-04-25 22:59,2024-04-25 23:07,00:07:25,WR-16
aa-27-79-61,Fire Warning,WARNING Discrepancy and PM,119,2024-04-26 00:05,2024-04-26 00:45,00:39:25,WR-16
aa-22-17-44,Fire Warning,WARNING Discrepancy and PM,217,2024-04-26 01:20,2024-04-26 02:38,01:17:58,WR-16
aa-22-16-97,Fire Warning,WARNING Discrepancy and PM,181,2024-04-26 01:27,2024-04-26 02:30,01:03:36,WR-16
aa-22-16-41,Fire Warning,WARNING Discrepancy and PM,169,2024-04-26 01:29,2024-04-26 02:38,01:09:05,WR-16
aa-87-26-17,Fire Warning,WARNING Discrepancy and PM,130,2024-04-26 01:33,2024-04-26 02:31,00:58:02,WR-16
aa-22-16-97,Air Quality,Particulates,51,2024-04-26 01:54,2024-04-26 02:12,00:18:22,WR-16
