"","FireName","LAT","LONG","ReportedIgnTime","ReportedFinalArea","DistToSensor","TimetoFirstWarning","TimetoFirstAlert","TimetoFirstVIIRS","TimetoFirstGOES","FirstObsFRP","x","y","AreaAtWarning","FRPAtWarning","PlumeHatWarning","Ignition time","Lat","Lon","Air temp","Relative Humidity (%)","Wind Speed (km/h)","Wind Dir (deg)","Solar Radiation (W/m2)","GFMC","GSI","GFWI"
"1","WR-15",52.8244,-111.0136,2024-04-24 15:12:00,600,6554,246,355,766,NA,2.3,-110.9278,52.7964,705,2011,1367,2024-04-24 16:07:00,52.8244,-111.0136,19.9,14,13.7,225,420.239173043026,91.8013962465305,49.9455280488106,31.1870624653249
"2","WR-14",52.8078,-110.9658,2024-04-24 10:02:00,550,1812,13,23,149,59,108,-110.9429,52.8164,7,117,629,2024-04-24 10:57:00,52.8078,-110.9658,19.5,15,29.5,177,583.84793175794,88.9091213012148,96.4731214722321,35.889430058513
"3","WR-12",52.7998,-110.9333,2024-04-23 09:04:00,375,529,133,300,167,187,108,-110.9278,52.7964,91,240,962,2024-04-23 09:59:00,52.7998,-110.9333,14.3,23,9,278,581.020960117291,89.5270195136262,21.1563718558356,25.0514064465021
"4","WR-09",52.78,-110.8888,2024-04-11 09:35:00,250,1192,140,158,215,NA,232,-110.9006,52.772,260,1232,1334,2024-04-11 10:30:00,52.78,-110.8888,11,23,15.2,152,514.921215085227,88.967322064582,35.7592397616855,28.8004604516415
"5","WR-08",52.7988,-110.8917,2024-04-10 09:05:00,150,1739,309,338,1095,NA,1.7,-110.9014,52.7843,169,445,780,2024-04-10 10:00:00,52.7988,-110.8917,6.8,45,26.7,326,362.840633079896,83.4882906379612,32.2789490396695,28.0690789846562
"6","WR-16",52.834215,-111.007677,2024-04-25 09:41:00,75,4782,396,NA,218,NA,6.93,-110.9429,52.8164,76,147,935,2024-04-25 10:36:00,52.834215,-111.007677,14.2,31,8.8,346,480.026901639395,88.443058906104,17.9396880810339,23.8733660164519
"7","WR-01",52.7507,-111.0315,2024-04-03 09:40:00,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-03 10:35:00,52.7507,-111.0315,7.1,70,32.8,325,331.574944242014,81.8174694403554,28.6717742384447,27.2226352531038
"8","WR-04",52.7914,-110.9191,2024-04-08 15:40:00,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-08 16:35:00,52.7914,-110.9191,14.6,24,17.8,205,241.968163954119,89.7393324858046,47.0916682601444,30.7667990235483
"9","WR-06",52.7862,-110.9184,2024-04-10 09:43:00,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-10 10:38:00,52.7862,-110.9184,6.6,45,30.4,317,410.435352505742,83.5469221018355,38.1507588947274,29.262867303822
"10","WR-07",52.7912,-110.9748,2024-04-10 22:11:00,0.28,4995,86,112,NA,NA,NA,-110.9014,52.7843,0,2,230,2024-04-10 23:06:00,52.7912,-110.9748,-0.2,48,5.9,48,3.8095025618869e-14,84.6055855984362,4.26136642265998,13.6060402711003
"11","WR-13",52.7477,-110.9227,2024-04-24 10:15:00,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-24 11:10:00,52.7477,-110.9227,19.5,15,29.5,177,583.84793175794,88.9091213012148,96.4731214722321,35.889430058513
"12","WR-11",52.7836,-110.9422,2024-04-23 11:24:00,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-23 12:19:00,52.7836,-110.9422,18.8,15,10,304,679.82197493682,92.730775916181,37.4473515028525,29.1299411370604
"13","WR-05",52.7914,-110.9191,2024-04-09 15:10:00,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-09 16:05:00,52.7914,-110.9191,14,20,21.5,326,315.926749343813,89.3042162155037,55.6580162688433,31.9605849136891
"14","WR-02",52.7553,-111.0474,2024-04-04 08:48:00,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-04 09:43:00,52.7553,-111.0474,4.3,40,9,48,261.260972054874,83.9604977501173,6.67770091112903,16.8144966138375
"15","WR-03",52.8312,-110.9184,2024-04-04 12:55:00,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-04 13:50:00,52.8312,-110.9184,5.6,40,16.4,72,297.73532270273,85.2202442626363,24.2967147980019,26.0399780022882
"16","WR-10",52.7943,-110.9765,2024-04-11 08:05:00,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-11 09:00:00,52.7943,-110.9765,7.6,34,13.9,171,371.56997755445,85.0091809468915,19.8842663561498,24.6084611161092
"17","VC-01",47.0164918,-71.5456692,2023-05-13 11:05:00,75,2109,NA,126,765,NA,1.8,-71.5383,46.9982,NA,NA,NA,2023-05-13 12:00:00,47.0164918,-71.5456692,20,22,5,30,691.469339970261,90.5625682039121,9.69117817417021,19.4747984123177
"18","VC-02",47.023233,-71.565858,2023-05-23 09:13:00,75,490,NA,202,NA,NA,1.8,-71.5705,47.0263,NA,NA,NA,2023-05-23 10:08:00,47.023233,-71.565858,11,56,11,24,423.388288224322,81.1143253639998,12.5866751591607,21.3421035710114
"19","VC-03",46.9645824,-71.5822598,2023-05-29 08:00:00,6,NA,NA,NA,163,NA,2.9,NA,NA,NA,NA,NA,2023-05-29 08:55:00,46.9645824,-71.5822598,15.8,49,17,7,503.199702647564,78.1838551344239,19.6164214909616,24.511591565961
"20","RC-01",49.088,-118.975,2024-09-19 12:53:00,75,891,298,668,NA,213,69,-118.964833,49.08355,85,203,1058,2024-09-19 12:48:00,49.088,-118.975,22.8,54,5,283,619.605395836271,83.5001420357583,1.74634710169178,7.23415720350461
